"loc_id";"int_type";"int_val";"valid_since";"date_type_since";"valid_until";"date_type_until"
"22150";"600700000";"456";;;"3000-01-01";"300500000"
"22152";"600700000";"571";;;"3000-01-01";"300500000"
"22203";"600700000";"1538";;;"3000-01-01";"300500000"
"22216";"600700000";"248";;;"3000-01-01";"300500000"
"22223";"600700000";"663";;;"3000-01-01";"300500000"
"22360";"600700000";"1142";;;"3000-01-01";"300500000"
"22572";"600700000";"199";;;"3000-01-01";"300500000"
"22788";"600700000";"449";;;"3000-01-01";"300500000"
"22804";"600700000";"1600";;;"3000-01-01";"300500000"
"22805";"600700000";"536";;;"3000-01-01";"300500000"
"23038";"600700000";"357";;;"3000-01-01";"300500000"
"23153";"600700000";"3631";;;"3000-01-01";"300500000"
"23179";"600700000";"457";;;"3000-01-01";"300500000"
"23550";"600700000";"4069";;;"3000-01-01";"300500000"
"23832";"600700000";"1608";;;"3000-01-01";"300500000"
"23994";"600700000";"1340";;;"3000-01-01";"300500000"
"24087";"600700000";"929";;;"3000-01-01";"300500000"
"24146";"600700000";"709";;;"3000-01-01";"300500000"
"24298";"600700000";"866";;;"3000-01-01";"300500000"
"24327";"600700000";"227";;;"3000-01-01";"300500000"
"24341";"600700000";"316";;;"3000-01-01";"300500000"
"24419";"600700000";"218";;;"3000-01-01";"300500000"
"24451";"600700000";"1071";;;"3000-01-01";"300500000"
"24494";"600700000";"869";;;"3000-01-01";"300500000"
"24693";"600700000";"991";;;"3000-01-01";"300500000"
"24729";"600700000";"183";;;"3000-01-01";"300500000"
"24735";"600700000";"21";;;"3000-01-01";"300500000"
"24737";"600700000";"2240";;;"3000-01-01";"300500000"
"24738";"600700000";"147";;;"3000-01-01";"300500000"
"24791";"600700000";"5859";;;"3000-01-01";"300500000"
"24836";"600700000";"997";;;"3000-01-01";"300500000"
"24896";"600700000";"635";;;"3000-01-01";"300500000"
"24994";"600700000";"203";;;"3000-01-01";"300500000"
"25015";"600700000";"5059";;;"3000-01-01";"300500000"
"25134";"600700000";"109";;;"3000-01-01";"300500000"
"25185";"600700000";"269";;;"3000-01-01";"300500000"
"25284";"600700000";"404";;;"3000-01-01";"300500000"
"25311";"600700000";"408";;;"3000-01-01";"300500000"
"25417";"600700000";"1898";;;"3000-01-01";"300500000"
"25465";"600700000";"231";;;"3000-01-01";"300500000"
"25470";"600700000";"167";;;"3000-01-01";"300500000"
"25920";"600700000";"223";;;"3000-01-01";"300500000"
"25948";"600700000";"1588";;;"3000-01-01";"300500000"
"26032";"600700000";"131";;;"3000-01-01";"300500000"
"26037";"600700000";"9078";;;"3000-01-01";"300500000"
"26042";"600700000";"1104";;;"3000-01-01";"300500000"
"26058";"600700000";"402";;;"3000-01-01";"300500000"
"26251";"600700000";"751";;;"3000-01-01";"300500000"
"26294";"600700000";"136";;;"3000-01-01";"300500000"
"26302";"600700000";"47";;;"3000-01-01";"300500000"
"26303";"600700000";"793";;;"3000-01-01";"300500000"
"26304";"600700000";"683";;;"3000-01-01";"300500000"
"26339";"600700000";"981";;;"3000-01-01";"300500000"
"26340";"600700000";"469";;;"3000-01-01";"300500000"
"26453";"600700000";"668";;;"3000-01-01";"300500000"
"26512";"600700000";"4438";;;"3000-01-01";"300500000"
"16812";"600700000";"663";;;"3000-01-01";"300500000"
"16181";"600700000";"1064";;;"3000-01-01";"300500000"
"16218";"600700000";"1149";;;"3000-01-01";"300500000"
"480";"600700000";"206449";;;"3000-01-01";"300500000"
"13434";"600700000";"8631";;;"3000-01-01";"300500000"
"13576";"600700000";"1121";;;"3000-01-01";"300500000"
"13991";"600700000";"19741";;;"3000-01-01";"300500000"
"14405";"600700000";"542";;;"3000-01-01";"300500000"
"14811";"600700000";"3564";;;"3000-01-01";"300500000"
"15390";"600700000";"1176";;;"3000-01-01";"300500000"
"35740";"600700000";"686";;;"3000-01-01";"300500000"
"16397";"600700000";"17256";;;"3000-01-01";"300500000"
"17132";"600700000";"1196";;;"3000-01-01";"300500000"
"17339";"600700000";"1480";;;"3000-01-01";"300500000"
